,ID,Brand,Name,Colorway,Silhouette,Retail Price,Estimated Market Value,Gender,Release Date,SKU,StockX Link,GOAT Link,Image
557,12c188ad-d6f4-4059-abab-7565fc664db2,puma,Casper x Suede '85th Anniversary',warm white,suede,110,113,men,10/1/2024,398938-01,,https://goat.com/sneakers/casper-x-suede-85th-anniversary-398938-01,https://image.goat.com/attachments/product_template_pictures/images/104/461/401/original/398938_01.png.png
558,15124c57-56d0-4427-9abc-2ab9c826e0c0,puma,Palermo Vintage 'Cold Green',cold green/frosted ivory,palermo,90,103,men,10/1/2024,396841-06,,https://goat.com/sneakers/palermo-vintage-cold-green-396841-06,https://image.goat.com/attachments/product_template_pictures/images/103/966/022/original/396841_06.png.png
559,3e3334bd-8953-4441-8784-e590c7188c81,puma,Dagger 'White Red Black',red/black,dagger,80,136,men,10/1/2024,311353-02,,https://goat.com/sneakers/dagger-white-red-black-311353-02,https://image.goat.com/attachments/product_template_pictures/images/104/542/075/original/311353_02.png.png
560,3ed4739a-75cd-41ec-999a-469c24af2eea,puma,Wmns R78 Voyage 'Animal Fever',alpine snow/desert dust/yellow,r78,75,131,women,10/1/2024,400858-01,,https://goat.com/sneakers/wmns-r78-voyage-animal-fever-400858-01,https://image.goat.com/attachments/product_template_pictures/images/104/542/091/original/400858_01.png.png
561,65b6ac10-e291-44c0-b57d-24d2eea2d3fa,puma,Dribble 'Warm White Chestnut Brown',warm white/chestnut brown,dribble,65,53,men,10/1/2024,400326-06,,https://goat.com/sneakers/dribble-warm-white-chestnut-brown-400326-06,https://image.goat.com/attachments/product_template_pictures/images/104/542/088/original/400326_06.png.png
562,6d4a0dee-dff8-41cd-b617-bc9e894c7369,puma,MagMax Nitro 'Fizzy Apple',fizzy apple/galactic grey,magmax nitro,180,168,men,10/1/2024,310088-05,,https://goat.com/sneakers/magmax-nitro-fizzy-apple-310088-05,https://image.goat.com/attachments/product_template_pictures/images/104/542/073/original/310088_05.png.png
563,8c17053a-c73d-4e9d-957a-e67985e91ae8,puma,Dribble 'White Black Shadow Grey',white/black/shadow grey,dribble,65,53,men,10/1/2024,400326-04,,https://goat.com/sneakers/dribble-white-black-shadow-grey-400326-04,https://image.goat.com/attachments/product_template_pictures/images/104/542/087/original/400326_04.png.png
564,a31e6dd5-886c-4f3b-80e6-4e4dea4ecd25,puma,Dribble 'White Malachite',white/malachite,dribble,65,49,men,10/1/2024,400326-07,,https://goat.com/sneakers/dribble-white-malachite-400326-07,https://image.goat.com/attachments/product_template_pictures/images/104/542/089/original/400326_07.png.png
565,acf80a3d-f7e6-4358-8a9d-ed9598f36422,puma,Suede XL 'Jackhammer - Dark Myrtle',dark myrtle/frosted ivory/vapor grey,suede,110,131,men,10/1/2024,398932-01,,https://goat.com/sneakers/suede-xl-jackhammer-398932-01,https://image.goat.com/attachments/product_template_pictures/images/104/375/129/original/398932_01.png.png
566,b70f1738-ed77-4c7e-8f22-8f1c183f1762,puma,Palermo Vintage 'Caramel Latte',caramel latte/creamy vanilla/gum,palermo,90,92,men,10/1/2024,396841-02,,https://goat.com/sneakers/palermo-vintage-caramel-latte-396841-02,https://image.goat.com/attachments/product_template_pictures/images/103/966/021/original/396841_02.png.png
567,caeaeff6-61b6-452e-acc7-10583398b451,puma,Suede XL 'Dia De Los Muertos Pack - Caramel',caramel latte/black,suede,90,85,men,10/1/2024,398409-02,,https://goat.com/sneakers/suede-xl-dia-de-los-muertos-pack-caramel-398409-02,https://image.goat.com/attachments/product_template_pictures/images/104/375/128/original/398409_02.png.png
568,d67a8aea-3715-4d01-8a8a-e05ec97ee9f4,puma,Suede XL 'Dia De Los Muertos Pack - Mint',mint/dark amethyst,suede,90,83,men,10/1/2024,398409-01,,https://goat.com/sneakers/suede-xl-dia-de-los-muertos-pack-mint-398409-01,https://image.goat.com/attachments/product_template_pictures/images/104/375/127/original/398409_01.png.png
569,ec498ba2-331e-4afe-8f20-fa0d50742680,puma,Palermo 'Hyperlink Blue Flame Flicker',hyperlink blue/flame flicker/gum,palermo,90,73,men,10/1/2024,396463-25,,https://goat.com/sneakers/palermo-hyperlink-blue-flame-flicker-396463-25,https://image.goat.com/attachments/product_template_pictures/images/104/168/993/original/396463_25.png.png
570,e549da2b-fc06-4c16-9fce-ead535ef4037,puma,Suede XL 'Jackhammer - Bluemazing',bluemazing/frosted ivory/vapor grey,suede,110,119,men,9/30/2024,398932-02,,https://goat.com/sneakers/suede-xl-jackhammer-bluemazing-398932-02,https://image.goat.com/attachments/product_template_pictures/images/104/513/392/original/398932_02.png.png
571,7e63cba3-fbe6-4408-b79b-c10357cefce5,puma,Clyde 'The Never Worn 4',frosted ivory/alpine snow,clyde,110,157,men,9/29/2024,398702-01,,https://goat.com/sneakers/clyde-the-never-worn-4-398702-01,https://image.goat.com/attachments/product_template_pictures/images/104/486/529/original/398702_01.png.png
572,a6afeb41-47d5-461a-9c81-6cc1c556972a,puma,Indoor OG 'The Never Worn 4',frosted ivory/golden fog/alpine snow,indoor og,120,118,men,9/29/2024,398763-01,,https://goat.com/sneakers/indoor-og-the-never-worn-4-398763-01,https://image.goat.com/attachments/product_template_pictures/images/104/486/530/original/398763_01.png.png
573,f0bf891a-bac0-4f34-8a78-693c9f17e477,puma,Noah x RDR Low GORE-TEX 'Warm White Vapor Grey',warm white/vapor grey,rdr,170,170,men,9/29/2024,398239-01,,https://goat.com/sneakers/noah-x-rdr-low-gore-tex-warm-white-vapor-grey-398239-01,https://image.goat.com/attachments/product_template_pictures/images/105/612/161/original/398239_01.png.png
574,fc564679-5bc6-4772-9585-d1dc7b755ffe,puma,Noah x RDR High GORE-TEX 'Mahogany',mahogany/mahogany/dark chocolate,rdr,190,190,men,9/29/2024,398238-01,,https://goat.com/sneakers/noah-x-rdr-high-gore-tex-mahogany-398238-01,https://image.goat.com/attachments/product_template_pictures/images/105/612/160/original/398238_01.png.png
575,116042ee-4f86-4f80-9b80-cb18460aa52c,puma,Puma Suede Monster Hunter,puma black/warm white,suede,115,115,men,9/27/2024,401817-01,https://stockx.com/puma-suede-monster-hunter,https://goat.com/sneakers/monster-hunter-x-suede-rathalos-401817-01,https://image.goat.com/attachments/product_template_pictures/images/104/318/318/original/401817_01.png.png
576,3aaba8a0-ce4a-4869-b5dd-7b0c5b9bf6f7,puma,Puma Mostro San San Gear Glacial Grey,glacial grey/cast iron,mostro san san,0,0,men,9/27/2024,400209-01,https://stockx.com/puma-mostro-san-san-gear-glacial-grey,,
577,41c32669-7ee8-45d6-b939-21757dbfd4dc,puma,Monster Hunter x Palermo Moda 'Airou',toasted almond/creamy vanilla,palermo,100,100,men,9/27/2024,401818-01,,https://goat.com/sneakers/monster-hunter-x-palermo-moda-airou-401818-01,https://image.goat.com/attachments/product_template_pictures/images/104/318/319/original/401818_01.png.png
